,level_0,latitude,longitude,index,time,u10,v10,d2m,t2m,evabs,evaow,lmld,lmlt,lshf,lai_hv,lai_lv,skt,snowc,sde,smlt,stl1,stl2,stl3,slhf,ssr,str,sp,sro,ssrd,strd,tsn,e,tp
2810,28034,27.55,68.8,10376472.0,2022-04-01,0.45849955,0.9421041,283.9155,305.5332,-2.1495158e-05,-2.2854656e-05,2.5647812,299.10532,0.69318384,0.0,0.94866675,308.56274,0.0,0.0,-9.313226e-10,308.86935,307.6891,304.5601,-157444.0,21060750.0,-12101260.0,99816.9,0.0,26412294.0,32036798.0,273.16058,-6.293366e-05,3.5697594e-05
2811,28035,27.55,68.8,10376473.0,2022-05-01,0.43792474,1.710376,286.40744,308.78806,-2.3489352e-05,-9.735115e-06,2.7220993,300.95782,0.6931163,0.0,0.8831139,312.45044,0.0,0.0,-9.313226e-10,312.91208,311.83746,308.55084,-98742.0,22246844.0,-12237623.0,99233.41,0.0,27993500.0,34109996.0,273.1613,-3.9506704e-05,5.159527e-06
2812,28036,27.55,68.8,10376474.0,2022-06-01,0.07507956,2.3801596,291.6713,308.1988,-2.0534731e-05,-8.103671e-06,2.9940243,302.05865,0.6930132,0.0,0.92333496,312.09662,0.0,0.0,-9.313226e-10,312.75305,312.08163,309.96533,-84902.0,20806760.0,-9771882.0,99109.484,0.0,26244136.0,36433816.0,273.15988,-3.3983495e-05,2.2985041e-06
2813,28037,27.55,68.8,10376475.0,2022-07-01,-0.76227224,1.0602255,298.60364,304.18826,-0.0019055967,-0.0005393395,2.7292175,303.2915,0.6930594,0.0,1.0552399,305.65442,0.0,0.0,-9.313226e-10,306.7227,307.0728,307.87872,-7773859.5,14674459.0,-3627341.0,99242.43,0.00015491992,18566568.0,39076476.0,273.15988,-0.0031084144,0.005880708
2814,28038,27.55,68.8,10376476.0,2022-08-01,-0.54195035,0.41007495,297.91763,302.83066,-0.0020716477,-0.0004155545,2.843113,302.11584,0.69307363,0.0,1.2067809,303.32635,0.0,0.0,-9.313226e-10,304.1725,304.3953,305.06332,-7808699.0,12010160.0,-3054287.5,99322.86,0.0015187971,15197698.0,38359470.0,273.16058,-0.0031225085,0.010203632
2815,28039,27.55,68.8,10376477.0,2022-09-01,0.17623901,1.1696568,295.62097,303.15533,-0.0022721202,-0.00023541693,2.485054,302.17734,0.69307005,0.0,1.2428049,303.68298,0.0,0.0,-9.313226e-10,304.5363,304.5197,304.5374,-6281502.0,12324740.0,-3360353.0,99717.6,0.0,15523008.0,18456668.0,273.15988,-0.002511698,7.0668757e-06
2816,28112,26.55,68.8,10385200.0,2022-02-01,0.08858168,-0.3038032,280.06396,293.86566,-3.8188882e-05,-0.00010361057,3.797699,291.78726,0.7025213,0.0,0.50603545,296.6266,0.0,0.0,-9.313226e-10,296.5833,296.3979,296.32693,-366001.0,14466210.0,-10079040.0,100754.11,0.0,19517844.0,27659990.0,273.15988,-0.00014635595,2.2985041e-06
2817,28113,26.55,68.8,10385201.0,2022-03-01,0.6537459,0.65597343,280.71173,301.25116,-6.367266e-05,-7.4924435e-05,2.7128448,296.2937,0.74129355,0.0,0.50603545,304.8633,0.0,0.0,-9.313226e-10,304.49533,303.09702,300.82547,-361706.0,17154182.0,-11413159.0,100442.25,0.0,23309748.0,30764988.0,273.15988,-0.00014464185,1.0885298e-05
2818,28114,26.55,68.8,10385202.0,2022-04-01,1.525389,2.3917468,281.4649,306.70364,-8.708821e-05,-8.600461e-05,2.314211,299.97516,0.74144286,0.0,0.50603545,311.07907,0.0,0.0,-9.313226e-10,310.6269,308.82538,305.7411,-451429.0,19402384.0,-12777064.0,99967.086,0.0,26443548.0,32966528.0,273.16058,-0.0001804484,1.1838973e-05
2819,28115,26.55,68.8,10385203.0,2022-05-01,1.7512832,4.0444813,287.3631,308.6563,-8.694036e-05,-9.001535e-05,2.7733517,301.36523,0.7411833,0.0,0.50603545,313.635,0.0,0.0,-9.313226e-10,313.29755,311.80344,308.97473,-465269.0,20411128.0,-12296923.0,99411.49,0.0,27853956.0,34926036.0,273.1613,-0.00018616254,3.2521784e-06
2820,28116,26.55,68.8,10385204.0,2022-06-01,2.1034124,4.588419,291.60413,308.04047,-6.825221e-05,-7.621618e-05,3.1876469,301.8977,0.7409273,0.0,0.50663507,312.98682,0.0,0.0,-9.313226e-10,312.8121,311.87384,310.05374,-386523.0,19288832.0,-10027938.0,99294.13,0.0,26246778.0,36813790.0,273.15988,-0.00015454553,3.474392e-05
