,Region,Major RGI region,Mountain range region,Country,Glacier,RGI glacier ID,RGI glacier Area,Lake name,Lake type,Longitude,Latitude,River,Date,Min. date,Max. date,Outburst mechanism,Mean lake volume,Min. lake volume,Max. lake volume,Lake volume determination method,Mean flood volume,Min. flood volume,Max. flood volume,Flood volume determination method,Peak discharge,Min. peak discharge,Max. peak discharge,Peak discharge determination method,Impact and destruction,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Resettlement,Reported fatalities,Further comments,Year of First Reference Found,References,Reference comments,Lake area before,Perimeter before,Image date before,Satellite before,Scenename before,Certainty level before,Lake area after,Image date after,Perimeter after,Satellite after,Scenename after,Certainty level after,Lake area comments
112,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Khurdopin,RGI60-14.04404,203.336,,ice,75.478606,36.342335,Shimshal,2017-07,2017-07-21,2017-08-05,,2.0,,,estimated from lake area changes,2.0,,,estimated,,,,,"“river washed away the road at multiple locations, destroyed at least one main bridge and eroded local agricultural land”",x,x,,1,,,,,,,,Bazai et al. (2021): peak lake volume 5 *10^6 m^3,2018,"Steiner, J. F., Kraaijenbrink, P. D., Jiduc, S. G., & Immerzeel, W. W. (2018). Brief communication: The Khurdopin glacier surge revisited-Extreme flow velocities and formation of a dammed lake in 2017. Cryosphere, 12(1), 95-101.",,96146.0,2103.0,2017-07-16,Planetscope,20170716_045704_1036_3B_AnalyticMS_SR_clip,2.0,14983,1446.0,2017-08-06,Planetscope,20170806_045703_1032_3B_AnalyticMS_SR_clip,2.0,
113,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Khurdopin,RGI60-14.04404,203.336,,ice,75.478606,36.342335,Hunza,2017-07-28,,,subglacial drainage,,,,,9.0,,,unknown,,,,,damage to agriculture,x,x,,,,,,,,,,,unknown,Internal Report Utrecht University; Jakob Steiner pers. Comm. (2021),,,,,,,,,,,,,,
116,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Khurdopin,RGI60-14.04404,203.336,,ice,75.478606,36.342335,Hunza,2018-03-25,,,subglacial drainage,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,Internal Report Utrecht University; Jakob Steiner pers. Comm. (2021),,,,,,,,,,,,,,
117,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Khurdopin,RGI60-14.04404,203.336,,ice,75.478606,36.342335,Shimshal,2018-04,,,,7.0,,,estimated,,,,,,,,,,,,,,,,,,,,,,2020,"J.F. Steiner, pers. comm.",,13004.0,792.0,2018-04-25,Planetscope,20180425_082439_0f06_3B_Visual,2.0,9665,577.0,2018-05-21,Planetscope,20180521_050835_0e19_3B_AnalyticMS_SR_clip,1.0,
118,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Khurdopin,RGI60-14.04404,203.336,,ice,75.478606,36.342335,Hunza,2018-05-10,,,subglacial drainage,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,Internal Report Utrecht University; Jakob Steiner pers. Comm. (2021),,,,,,,,,,,,,,
120,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Badswat Glacier,RGI60-14.05487,"3,373",,subglacial,74.06,36.5,Ishkoman,2018-07-17,2018-08-17,,englacial,,,,,,,,,,,,,1000 residents required evacuation,,,,,,,,,,,,"1.3 km long dam, 0.6 km² lake area",2021,"Shangguan D, Li D, Ding Y, Liu J, Anjum MN, Li Y, Guo W. (2021). Determining the Events in a Glacial Disaster Chain at Badswat Glacier in the Karakoram Range Using Remote Sensing. Remote Sensing. 13(6):1165. https://doi.org/10.3390/rs13061165.; Jakob Steiner pers. Comm (2021)",,,,,,,,,,,,,,
121,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Bad swat,RGI60-14.03035,16.937,,ice,74.0339,36.5458,? Immit / Kurumbar,2018-07-18,,,,,,,,,,,,,,,,"2 people killed; 40 houses damaged, road access cut off to 10 villages; smaller roads washed away including some vehicles and hundreds of cattle in the upstream areas",x,x,40,,x,,,,,,2,lake formed in Ishkoman Valley; reported on 19/07/2018 by Abid Hussain (Twitter) and Pamir Times,2018,"Payne, J. (2018). Barsuwat Glacier Causes Flooding and Artificial Lake in Pakistan. GlacierHub.; Pamir Times (2019). GLOF blocks Kurumbar River forming a lake in Ishokman Valley. (https://pamirtimes.net/2018/07/19/glof-blocks-kurumbar-river-forming-a-lake-in-ishkoman-valley/); Abid Hussain (2018-07-19; https://twitter.com/AbidAnchanBalti/status/1019906308416462848)",,,,,,,,,,,,,,
123,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Khurdopin,RGI60-14.04404,203.336,,ice,75.478606,36.342335,Shimshal,2018,2018-02,2018-03,,,,9.0,estimated using optical images and a DEM,,,,,,,,,minor damages to orchard along Shimshal river; farmland erosion,u,x,,,,,,,,,,major flood,2021,"Bazai, N. A., Cui, P., Carling, P. A., Wang, H., Hassan, J., Liu, D., ... & Wen, J. (2021). Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews, 103432.",,217296.0,3514.0,2018-02-08,Planetscope,20180208_050638_0f43_3B_AnalyticMS_SR_clip,2.0,13004,792.0,2018-04-25,Planetscope,20180425_082439_0f06_3B_Visual,1.0,unsure about after lake image (maybe gone?)
124,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Khurdopin,RGI60-14.04404,203.336,,ice,75.478606,36.342335,Shimshal,2019-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,"J.F. Steiner, pers. comm.",,103711.0,2311.0,2019-04-29,Planetscope,20190429_051346_0e19_3B_Visual,2.0,0,0.0,,,,1.0,
125,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Shisphare,RGI60-14.03017,87.99,,ice,74.562535,36.360999,Hunza,2019-06-22,2019-06-21,2019-06-23,tunneling,16.6,10.2,23.0,estimated – satellite images/bathymetry,9.7,,,estimated – Muhammad et al. (2021),142.0,,,gaged – Pakistan Meterological Department at main bridge in Hassanabad),"56 houses damaged, 1.5km of highway destroyed, 11 houses inundated, 2 bridges completly washed out",x,,56,2,x,,,,,,,,2020,"Muhammad, S., Li, J., Steiner, J. F., Shrestha, F., Shah, G. M., Berthier, E., ... & Tian, L. (2021). A holistic view of Shisper Glacier surge and outburst floods: from physical processes to downstream impacts. Geomatics, Natural Hazards and Risk, 12(1), 2755-2775.; Bhambri, R., Watson, C. S., Hewitt, K., Haritashya, U. K., Kargel, J. S., Shahi, A. P., ... & Govil, H. (2020). The hazardous 2017–2019 surge and river damming by Shispare Glacier, Karakoram. Scientific reports, 10(1), 1-14.; Rashid, I., Majeed, U., Jan, A., & Glasser, N. F. (2020). The January 2018 to September 2019 surge of Shisper Glacier, Pakistan, detected from remote sensing observations. Geomorphology, 351, 106957; https://www.icimod.org/ice-dammed-lake-in-hunza-created-by-shisper-glacier-surge-breached-for-the-second-time-in-2020/",,256442.0,4134.0,2019-06-18,Planetscope,20190618_052619_1012_3B_AnalyticMS_SR_clip,1.0,176422,2800.0,2019-06-27,Planetscope,20190627_042148_104b_3B_Visual_clip,2.0,
126,High Mountain Asia,"Asia, South West",Hindu Kush,Pakistan,"Rogheli Gol Glaciers, glacier of Nalla",,,,unknown,72.0052,35.8856,Nullah,2019-07-07,,,,,,,,,,,,,,,,damage of residential houses; damages to intake of Power House; damages to agricultural land / crops; damages to roads and bridges; damages to existing flood protection works; damages to water supply schemes,x,x,,x,x,,x,x,,,,lake started to develop on 3rd June 2019,2019,DDMU Chitral (2019). Golain Chitral GLOF Event - Preliminary Report.,,,,,,,,,,,,,,
130,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Shisphare,RGI60-14.03017,87.99,,ice,74.562535,36.360999,Hunza,2020-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,in january?,2020,"Pamir Times, 18/01/2020 (https://pamirtimes.net/2020/01/18/glacial-lake-formed-on-shishpar-glacier-hunza-drains/); Miriam Jackson on Twitter, 22/01/2020 (https://twitter.com/dbyeti/status/1219900209062268928?s=20)",,,,,,,,,,,,,,
131,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Shisphare,RGI60-14.03017,87.99,,ice,74.562535,36.360999,Hunza,2020-05-29,,,,,,12.45,estimated,4.8,,,,85.0,,,gaged – Pakistan Meterological Department at main bridge in Hassanabad),,,,,,,,,,,,,minor damage to infrastructure and the Karkoram Higway over a 700 stretch,2020,"Muhammad, S., Li, J., Steiner, J. F., Shrestha, F., Shah, G. M., Berthier, E., ... & Tian, L. (2021). A holistic view of Shisper Glacier surge and outburst floods: from physical processes to downstream impacts. Geomatics, Natural Hazards and Risk, 12(1), 2755-2775.; https://www.icimod.org/ice-dammed-lake-in-hunza-created-by-shisper-glacier-surge-breached-for-the-second-time-in-2020/; https://www.thenews.com.pk/tns/detail/671886-the-new-normal?utm_content=buffer3c0ca&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer; Bazai, N. A., Cui, P., Carling, P. A., Wang, H., Hassan, J., Liu, D., ... & Wen, J. (2021). Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews, 103432.",,277652.0,4180.0,2020-05-28,Planetscope,20200528_033030_1_0f4d_3B_AnalyticMS_SR_clip,2.0,14042,959.0,2020-06-29,Planetscope,20200629_052731_1001_3B_Visual_clip,2.0,
134,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Khurdopin,RGI60-14.04404,203.336,,ice,75.478606,36.342335,Hunza,2021-05,2021-05-11,2021-05-17,subglacial drainage,,,,,,,,,,,,,,,,,,,,,,,,,,2021,Mapping by ICIMOD with Cubesats; Jakob Steiner pers. Comm. (2021),,,,,,,,,,,,,,
135,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Shisphare,RGI60-14.03017,87.99,,ice,74.562535,36.360999,Hunza,2021-05,2021-05-15,2021-05-20,tunneling,,,,,,,,,,,,,,,,,,,,,,,,,,2021,Mapping by ICIMOD with Cubesats; Jakob Steiner pers. Comm. (2021),,,,,,,,,,,,,,
136,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Darmander,,,,supraglacial,73.68,36.33,Ghizer,2021-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,"Pamir Times [2021-06-09, https://twitter.com/pamirtimes/status/1402519181879386114]; Mapping by ICIMOD with Cubesats; Jakob Steiner pers. Comm. (2021)",,,,,,,,,,,,,,
137,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Shisphare,RGI60-14.03017,87.99,,ice,74.562535,36.360999,Hunza,2022-05-07,,,,,,,,,,,,,,,,"no fatalities, 1 bride destroyed",x,,,1,,,,,,,,,2022,"Rhina S Khan Satti on Twitter 2022-05-07  (https://mobile.twitter.com/rinasaeed/status/1522890715558162433, [last accessed: 2022-05-3)",,,,,,,,,,,,,,
