,Region,Major RGI region,Mountain range region,Country,Glacier,RGI glacier ID,RGI glacier Area,Lake name,Lake type,Longitude,Latitude,River,Date,Min. date,Max. date,Outburst mechanism,Mean lake volume,Min. lake volume,Max. lake volume,Lake volume determination method,Mean flood volume,Min. flood volume,Max. flood volume,Flood volume determination method,Peak discharge,Min. peak discharge,Max. peak discharge,Peak discharge determination method,Impact and destruction,Reported impacts (categorized),Occurrence of economic losses,Damage to buildings,Damage to bridges,Damage to roads or paths,Damage to railroads,Damage to utilities,Damage to flood protection measures,Damage to the environment,Resettlement,Reported fatalities,Further comments,Year of First Reference Found,References,Reference comments,Lake area before,Perimeter before,Image date before,Satellite before,Scenename before,Certainty level before,Lake area after,Image date after,Perimeter after,Satellite after,Scenename after,Certainty level after,Lake area comments
18,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Khurdopin,RGI60-14.04404,203.336,,ice,75.478606,36.342335,Shimshal,2002-07-15,,,,,,19.0,estimated using optical images and a DEM,,,,,,,,,,,,,,,,,,,,,,2021,"Bazai, N. A., Cui, P., Carling, P. A., Wang, H., Hassan, J., Liu, D., ... & Wen, J. (2021). Increasing glacial lake outburst flood hazard in response to surge glaciers in the Karakoram. Earth-Science Reviews, 103432.",,281511.0,3607.0,2002-04-10,Landsat 7,LE07_149035_20020410,2.0,214938,2542.0,2002-08-16,Landsat 7,LE07_149035_20020816,2.0,
22,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Khurdopin,RGI60-14.04404,203.336,,ice,75.478606,36.342335,Shimshal,,,2002-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,"Bhambri, R., Hewitt, K., Kawishwar, P., Kumar, A., Verma, A., Tiwari, S., & Misra, A. (2019). Ice-dams, outburst floods, and movement heterogeneity of glaciers, Karakoram. Global and Planetary Change, 180, 100-116.",,,,,,,,,,,,,,
23,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,RGI60-14.02458,RGI60-14.02458,7.286,,moraine,73.896146,36.612892,,,2002-08-23,2004-08-12,,2.03,,,estimated – derived from digitised lake areas with empirical lake area to volume relationship,1.99,,,estimated – derived from digitised lake areas with empirical lake area to volume relationship,,,,,,,,,,,,,,,,,,2019,"Veh, G., Korup, O., von Specht, S., Roessner, S., & Walz, A. (2019). Unchanged frequency of moraine-dammed glacial lake outburst floods in the Himalaya. Nature Climate Change, 9(5), 379-383.",,135000.0,,2002-08-23,Landsat 5,,2.0,8125,,2004-08-12,Landsat 5,,2.0,Veh et al. (2019)
26,High Mountain Asia,"Asia, South West",,Pakistan,unknown,,,,unknown,,,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location: Yarkhun Lasht,2015,"Rehman, G. (2015). GLOF Risk and Reduction Approaches in Pakistan. In Disaster Risk Reduction Approaches in Pakistan (pp. 217-237). Springer, Tokyo.",,,,,,,,,,,,,,
28,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Khurdopin,RGI60-14.04404,203.336,,ice,75.478606,36.342335,Shimshal,2003-05-31,,2003-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,"Bhambri, R., Hewitt, K., Kawishwar, P., Kumar, A., Verma, A., Tiwari, S., & Misra, A. (2019). Ice-dams, outburst floods, and movement heterogeneity of glaciers, Karakoram. Global and Planetary Change, 180, 100-116.",,69846.0,1314.0,2003-05-15,Landsat 7,LE07_149035_20030515,2.0,56723,964.0,2003-09-20,Landsat 7,LE07_149035_20030920,2.0,
30,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Chhatteboi,RGI60-14.01226,35.674,,ice,73.92,36.84,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very small lake,2005,"Iturrizaga, L. (2005). The historical Saklei Shuyinj and Chateboi Glacier Dams as triggers for lake outburst cascades in the Karambar Valley, Hindukush. Island Arc, 14(4), 389-399.; Bhambri, R., Hewitt, K., Kawishwar, P., Kumar, A., Verma, A., Tiwari, S., & Misra, A. (2019). Ice-dams, outburst floods, and movement heterogeneity of glaciers, Karakoram. Global and Planetary Change, 180, 100-116.",,12776.0,456.0,2004-05-24,Landsat 7,LE07_150034_20040524,1.0,1607,173.0,2004-07-11,Landsat 7,LE07_150034_20040711,1.0,
34,High Mountain Asia,"Asia, South West",,Pakistan,unknown,,,,unknown,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location: Brep,2015,"Rehman, G. (2015). GLOF Risk and Reduction Approaches in Pakistan. In Disaster Risk Reduction Approaches in Pakistan (pp. 217-237). Springer, Tokyo.",,,,,,,,,,,,,,
45,High Mountain Asia,"Asia, South West",,Pakistan,unknown,,,,unknown,,,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location: Sonoghor Valley,2015,"Rehman, G. (2015). GLOF Risk and Reduction Approaches in Pakistan. In Disaster Risk Reduction Approaches in Pakistan (pp. 217-237). Springer, Tokyo.",,,,,,,,,,,,,,
46,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Ghulkin,RGI60-14.03250,"30,544",Ghulkin Lake,supraglacial,74.8062,36.4285,Hunza,2007-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,"Din, K., Tariq, S., Mahmood, A., & Rasul, G. (2014). Temperature and precipitation: GLOF triggering indicators in Gilgit-Baltistan, Pakistan. Pakistan Journal of Meteorology, 10(20).; Hussain A., Nasab N., Bano D., Karim D., Anwar W., Hussain K., Uddin N. (2021) Glacier lake outburst flood modeling of Khurdopin glacier lake using HEC-RAS and GIS. In: Chernomorets S.S., Viskhadzhieva K.S. (eds.) Debris Flows: Disasters, Risk, Forecast, Protection. Proceedings of the 6th International Conference (Dushanbe–Khorog, Tajikistan). Volume 1. Dushanbe: “Promotion” LLC, p. 208–220.",,,,,,,,,,,,,,
49,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Passu,RGI60-14.03123,"62,194",Passu Lake,,74.879298,36.457205,Hunza,2008-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,"FOCUS (2008). Preliminary Assessment Report on Aerial Reconnaissance Survey of Ghulkin Glacier Lake Outburst. CITED IN Din, K., Tariq, S., Mahmood, A., & Rasul, G. (2014). Temperature and precipitation: GLOF triggering indicators in Gilgit-Baltistan, Pakistan. Pakistan Journal of Meteorology, 10(20).; Hussain A., Nasab N., Bano D., Karim D., Anwar W., Hussain K., Uddin N. (2021) Glacier lake outburst flood modeling of Khurdopin glacier lake using HEC-RAS and GIS. In: Chernomorets S.S., Viskhadzhieva K.S. (eds.) Debris Flows: Disasters, Risk, Forecast, Protection. Proceedings of the 6th International Conference (Dushanbe–Khorog, Tajikistan). Volume 1. Dushanbe: “Promotion” LLC, p. 208–220.",,,,,,,,,,,,,,
51,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Ghulkin,RGI60-14.03250,"30,544",Ghulkin Lake,supraglacial,74.8062,36.4285,Hunza,2008-04-06,,,breach,,,,,,,,,,,,,"outbursts between april and june 2008 caused loss of livestock, orchards, arable crops, 4 houses, 6 cattle sheds + damaged Karakoram Highway & irrigation channels",x,x,4,,x,,,,,,,moraine breach,2009,"Richardson, S. D., & Quincey, D. J. (2009, April). Glacier outburst floods from Ghulkin Glacier, upper Hunza Valley, Pakistan, EGU General Assembly Conference Abstract & Poster; Ashraf, A., Roohi, R., & Naz, R. (2011). Identification of glacial flood hazards in Karakorum range using remote sensing technique and risk analysis. Science Vision, 16, 71-80.; Zheng, G., Allen, S. K., Bao, A., Ballesteros-Cánovas, J. A., Huss, M., Zhang, G., ... & Stoffel, M. (2021). Increasing risk of glacial lake outburst floods from future Third Pole deglaciation. Nature Climate Change, 1-7.",,,,,,,,,,,,,,
52,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Ghulkin,RGI60-14.03250,"30,544",Ghulkin Lake,supraglacial,74.8062,36.4285,Hunza,2008-05-21,,,breach,,,,,,,,,,,,,"outbursts between april and june 2008 caused loss of livestock, orchards, arable crops, 4 houses, 6 cattle sheds + damaged Karakoram Highway & irrigation channels",x,x,4,,x,,,,,,,moraine breach,2009,"Richardson, S. D., & Quincey, D. J. (2009, April). Glacier outburst floods from Ghulkin Glacier, upper Hunza Valley, Pakistan, EGU General Assembly Conference Abstract & Poster; Ashraf, A., Roohi, R., & Naz, R. (2011). Identification of glacial flood hazards in Karakorum range using remote sensing technique and risk analysis. Science Vision, 16, 71-80.; Zheng, G., Allen, S. K., Bao, A., Ballesteros-Cánovas, J. A., Huss, M., Zhang, G., ... & Stoffel, M. (2021). Increasing risk of glacial lake outburst floods from future Third Pole deglaciation. Nature Climate Change, 1-7.",,,,,,,,,,,,,,
53,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Ghulkin,RGI60-14.03250,"30,544",Ghulkin Lake,supraglacial,74.8062,36.4285,Hunza,2008-05-25,,,breach,,,,,1.0,,,estimated – 1-D modelling,50.0,,,estimated – 1-D modelling,"outbursts between april and june 2008 caused loss of livestock, orchards, arable crops, 4 houses, 6 cattle sheds + damaged Karakoram Highway & irrigation channels",x,x,4,,x,,,,,,,moraine breach,2008,"DAWN Newspaper. (2008). Glacier burst floods vast area in Hunza.; Richardson, S. D., & Quincey, D. J. (2009, April). Glacier outburst floods from Ghulkin Glacier, upper Hunza Valley, Pakistan, EGU General Assembly Conference Abstract & Poster; Ashraf, A., Roohi, R., & Naz, R. (2011). Identification of glacial flood hazards in Karakorum range using remote sensing technique and risk analysis. Science Vision, 16, 71-80.; Zheng, G., Allen, S. K., Bao, A., Ballesteros-Cánovas, J. A., Huss, M., Zhang, G., ... & Stoffel, M. (2021). Increasing risk of glacial lake outburst floods from future Third Pole deglaciation. Nature Climate Change, 1-7.",,,,,,,,,,,,,,
55,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Ghulkin,RGI60-14.03250,"30,544",Ghulkin Lake,supraglacial,74.8062,36.4285,Hunza,2008-06-14,,,breach,,,,,1.0,,,estimated – 1-D modelling,50.0,,,estimated – 1-D modelling,"outbursts between april and june 2008 caused loss of livestock, orchards, arable crops, 4 houses, 6 cattle sheds + damaged Karakoram Highway & irrigation channels",x,x,4,,x,,,,,,,moraine breach,2009,"Richardson, S. D., & Quincey, D. J. (2009, April). Glacier outburst floods from Ghulkin Glacier, upper Hunza Valley, Pakistan, EGU General Assembly Conference Abstract & Poster; Ashraf, A., Roohi, R., & Naz, R. (2011). Identification of glacial flood hazards in Karakorum range using remote sensing technique and risk analysis. Science Vision, 16, 71-80.; Zheng, G., Allen, S. K., Bao, A., Ballesteros-Cánovas, J. A., Huss, M., Zhang, G., ... & Stoffel, M. (2021). Increasing risk of glacial lake outburst floods from future Third Pole deglaciation. Nature Climate Change, 1-7.",,,,,,,,,,,,,,
62,High Mountain Asia,"Asia, South West",Karakoram,Pakistan,Ghulkin,RGI60-14.03250,"30,544",Ghulkin Lake,supraglacial,74.8062,36.4285,Hunza,2009-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,"FOCUS (2012) CITED IN Din, K., Tariq, S., Mahmood, A., & Rasul, G. (2014). Temperature and precipitation: GLOF triggering indicators in Gilgit-Baltistan, Pakistan. Pakistan Journal of Meteorology, 10(20).; Hussain A., Nasab N., Bano D., Karim D., Anwar W., Hussain K., Uddin N. (2021) Glacier lake outburst flood modeling of Khurdopin glacier lake using HEC-RAS and GIS. In: Chernomorets S.S., Viskhadzhieva K.S. (eds.) Debris Flows: Disasters, Risk, Forecast, Protection. Proceedings of the 6th International Conference (Dushanbe–Khorog, Tajikistan). Volume 1. Dushanbe: “Promotion” LLC, p. 208–220.; Saifullah, M., Liu, S., Adnan, M., Ashraf, M., Zaman, M., Hashim, S., & Muhammad, S. (2020). Risks of glaciers lakes outburst flood along China Pakistan economic corridor. In Glaciers and Polar Environment. IntechOpen.",,,,,,,,,,,,,,
